experiment,data,datasize,augment,rand,schedule,optim,lr,chckpnt,wdecay,model,dropout,encoder,enc_zy_nhid,enc_zy_nlay,enc_zy_kpru,enc_zx_nhid,enc_zx_nlay,enc_zx_kpru,beta,nskip,zdim,minimax,mchead,gamma,clfs,run,clf_nhid,clf_nlay,clf_kpru,epochs,test_accuracy_toagg,test_loglike_toagg,train_accuracy_toagg,train_loglike_toagg,train_sharp_mag_toagg,train_var_grad_toagg,train_path_norm_toagg,train_y_pred_ent_toagg
QminimalityBatch,cifar10,b64,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,2,128,1,0,best,0.3869,-5.987109333979348,0.9864888888888887,-0.037472407491524536,,,,
QminimalityBatch,cifar10,b64,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,0,128,1,0,best,0.3714,-6.630161039181628,0.985,-0.044537873312222274,,,,
QminimalityBatch,cifar10,b64,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,1,128,1,0,best,0.3634,-6.430807238289528,0.9870444444444444,-0.03751144050665297,,,,
QminimalityBatch,cifar10,b64,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,100.0,0,1024,5,3,-0.1,default,2,128,1,0,best,0.4078,-3.971546570631176,0.9676888888888888,-0.101403124421254,,,,
QminimalityBatch,cifar10,b64,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,100.0,0,1024,5,3,-0.1,default,0,128,1,0,best,0.4205,-3.6041598300623887,0.9557333333333332,-0.1399051927360161,,,,
QminimalityBatch,cifar10,b64,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,100.0,0,1024,5,3,-0.1,default,1,128,1,0,best,0.4019,-3.858506282793381,0.9636,-0.11567229180593636,,,,
QminimalityBatch,cifar10,b64,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,3,-0.1,default,2,128,1,0,best,0.4621,-7.123815488956588,0.9971111111111112,-0.008786490014127677,,,,
QminimalityBatch,cifar10,b64,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,3,-0.1,default,1,128,1,0,best,0.46799999999999997,-7.08122697568612,0.9972666666666666,-0.007929559791280431,,,,
QminimalityBatch,cifar10,b64,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,3,-0.1,default,0,128,1,0,best,0.4575,-7.0389464813897975,0.9966888888888888,-0.0099078169692069,,,,
QminimalityBatch,cifar10,b64,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.1,0,1024,5,3,-0.1,default,2,128,1,0,best,0.4156,-6.609242185501341,0.9927111111111112,-0.02123540822095786,,,,
