datasize,beta,run_count,train_DIQ_yz_mean,train_DIQ_yz_std,test_DIQ_yz_mean,test_DIQ_yz_std,train_d_DIQ_xz_mean,train_d_DIQ_xz_std,train_H_Q_yCz_mean,train_H_Q_yCz_std,test_H_Q_yCz_mean,test_H_Q_yCz_std,train_acc_mean,train_acc_std,test_acc_mean,test_acc_std,train_loglike_mean,train_loglike_std,test_loglike_mean,test_loglike_std,train_d_H_Q_xCz_mean,train_d_H_Q_xCz_std,train_h_delta_acc_mean,train_h_delta_acc_std,train_z_norm_mean,train_z_norm_std,test_z_norm_mean,test_z_norm_std
b1024,0.01,3,3.317714407588497,7.096381315769715e-05,-0.604485281308492,0.06341127207710517,4.711799459023909,0.14949740722582264,0.004213612247963972,7.097152930093317e-05,3.926413305600484,0.06341127207710562,1.0,0.0,0.5226333333333334,0.00620671679177755,-0.002920867420812006,4.9210986267074864e-05,-2.718710430641188,0.043078117357728936,7.526094230738553,0.14949772887800342,0.36502589553691617,0.00968929116371032,9.47239553567135,0.12115912943878149,9.418355528513592,0.11672842710142109
b1024,0.1,3,3.306031763553619,9.456162751240342e-06,-0.30362154642740885,0.024336111275817984,1.7553061815825377,0.05062805551068626,0.015896267758569484,9.456854340599145e-06,3.6255495707194014,0.024336111275817994,1.0,0.0,0.5071,0.004003748243833523,-0.011019052386875944,6.441760804596966e-06,-2.511741383192349,0.015887936344385206,10.482587453090781,0.050631444116783046,0.16075700224416165,0.0020318388649409025,4.231760472962351,0.04546998321889699,4.207733694712321,0.0420206201129661
b1024,1.0,3,3.2452540885318406,0.0004691527529362515,0.09304134845733643,0.06425901119119054,0.586813144837365,0.05055976280286122,0.076673945073377,0.00046915973956298266,3.2288866758346564,0.06425901119119058,0.9995185185185185,0.00013578002059141356,0.4924,0.004550824101193109,-0.0531499250821118,0.00032705553774346757,-2.236560477796011,0.04414092486323,11.651080702290391,0.05055458567721105,0.07262878392492851,0.0043387112408278085,1.2550540322607215,0.03849811616953641,1.2522497733434041,0.03946156762799719
b1024,10.0,3,3.0540901874050945,0.004522428392825597,0.7209359884262084,0.0264076027296933,0.08257135884328322,0.006148815110171076,0.2678378384673234,0.004522424877204307,2.6009920358657834,0.02640760272969344,0.9911185185185185,0.0005662671067737005,0.47590000000000005,0.0011357816691600665,-0.1856600412885602,0.0031302340837050446,-1.8014512551024795,0.019026533003807085,12.155322421680799,0.006144570957041475,0.020196547979145794,0.0011130997892581757,0.34183016645185876,0.013096427843819813,0.3408808380365372,0.013161498557962567
b1024,100.0,3,1.8614782131079473,0.05222117674590725,1.130190412203471,0.008884817691200027,0.0027758137091013573,0.0002439636185691277,1.460449811184045,0.052221176745907066,2.1917376120885206,0.008884817691199713,0.6804518518518519,0.013858710918146644,0.4656666666666667,0.003308070938376808,-1.0123401668219063,0.03623084519599155,-1.5189189713321307,0.0064351798761929264,12.235118194059892,0.00023894646819354036,0.0018101440704827193,0.00027961154776233243,0.04260900695667122,0.0015707414261059297,0.042458807180325187,0.0015977798973353856
b16,0.01,1,3.3217904382950465,,-1.6092737117767335,,0.16294618026391094,,0.00013758736681942487,,4.93120173625946,,1.0,,0.5231,,-9.534450099146595e-05,,-3.4180486351679726,,12.074940466855374,,0.018617060670695563,,0.9892364603067012,,0.9805422018051148,
b16,0.1,2,3.3211420479509015,4.483351907157015e-05,-0.9221866312980651,0.03316682692860743,0.08257053896187372,0.00015664728636089294,0.0007859772373599368,4.483445756494122e-05,4.244114655876159,0.033166827333217117,1.0,0.0,0.5081500000000001,0.0036062445840514268,-0.0005447771726096243,3.100580899752771e-05,-2.9417961465186697,0.02298948395210331,12.155307466687997,0.0001444373846913985,0.005397188647944073,0.00045822848792676066,0.3509429288353311,0.009422399683209142,0.3486161294937134,0.009162825681529962
b16,1.0,3,3.317011279536588,0.00010457927629961066,-0.26057576497395835,0.062011589963367426,0.058202669962928916,0.003933090069495323,0.004916744397150619,0.00010457844660871484,3.582503789265951,0.062011590219685574,1.0,0.0,0.4882333333333333,0.0021939310229205722,-0.0034080670180547615,7.253862384775144e-05,-2.483202442257175,0.04298315807434293,12.179682304006235,0.0039199013956794145,0.0032074544772287407,0.0004847643309559565,0.07546572913500155,0.004849561337112832,0.074613092426459,0.00480259639420499
b16,10.0,1,3.290653895450325,,0.5107945680618287,,0.04513057467531702,,0.03127412968326772,,2.811133455657959,,1.0,,0.4878,,-0.02167475881835231,,-1.9485292633014764,,12.192768416284373,,0.0015367638345775564,,0.005119755141234434,,0.0051176060609519495,
b256,0.01,3,3.320775119644223,0.00010578576438922683,-1.003564997514089,0.05324064545466848,1.2497677480181058,0.04297553802247004,0.0011529028846725298,0.00010578316202275171,4.325493021806081,0.05324064545466771,1.0,0.0,0.5297333333333334,0.005372460640463895,-0.0007990856937020446,7.354067948871607e-05,-3.005406403724787,0.044624923241016114,10.988138001976592,0.042972235061112016,0.13616489603061868,0.003517992539631806,5.547748475363761,0.32859141571102474,5.543078390757242,0.32158512267381634
