experiment,data,datasize,augment,rand,schedule,optim,lr,chckpnt,wdecay,model,dropout,encoder,enc_zy_nhid,enc_zy_nlay,enc_zy_kpru,enc_zx_nhid,enc_zx_nlay,enc_zx_kpru,beta,nskip,zdim,minimax,mchead,clfs,run,,epochs,test_I_xz_toagg,train_I_xz_toagg,train_DIQ_yz_toagg,test_DIQ_yz_toagg,train_DIQ_xz_toagg,train_d_DIQ_xz_toagg,train_H_zCx_toagg,test_H_zCx_toagg,train_H_Q_yCz_toagg,test_H_Q_yCz_toagg,train_DIQ_xzCy_toagg,train_acc_toagg,test_acc_toagg,train_loss_toagg,test_loss_toagg,train_loglike_toagg,test_loglike_toagg,train_H_Q_xCz_toagg,train_d_H_Q_xCz_toagg,train_H_Q_xCzy_toagg,train_h_acc_toagg,train_h_delta_acc_toagg,train_z_norm_toagg,test_z_norm_toagg,train_z_mean_norm_toagg,test_z_mean_norm_toagg,train_z_std_toagg,test_z_std_toagg
QminimalityConditionalFinal,cifar10,all,False,False,decay,adam,5e-05,last,0,dib,0,mlpl,128,1,0,128,1,0,0.1,0,1024,0,1,default,0,transformer,best,,,3.321577148004012,-2.916831111907959,0.04055679928172718,,,,0.00035088167086624617,6.238759136199951,,1.0,0.4888,,,-0.0002431904493208394,-4.323190895654942,15.51926257393577,,,,0.016629087372216137,1.00231811133298,0.9845359444618224,0.2060902484438636,0.2040057212114334,0.006889744365418499,0.006888460274785757
QminimalityConditionalFinal,cifar10,all,False,False,decay,adam,5e-05,last,0,dib,0,mlpl,128,1,0,128,1,0,0.1,0,1024,0,1,default,1,transformer,best,,,3.3215456008911133,-2.819087028503418,0.043848427859219635,,,,0.0003824338160815056,6.14101505279541,,1.0,0.4965,,,-0.00026508346097415294,-4.254616426228156,15.515973264520818,,,,0.017043903597343923,0.9943032644011758,0.9773982763290404,0.21439426798712125,0.21260251104831696,0.0069673005279830905,0.006965033523738384
QminimalityConditionalFinal,cifar10,all,False,False,decay,adam,5e-05,last,0,dib,0,mlpl,128,1,0,128,1,0,0.1,0,1024,0,1,default,2,transformer,best,,,3.3216078173030508,-3.0236747741699217,0.03990684856068005,,,,0.00032020215902858496,6.345602798461914,,1.0,0.4886,,,-0.00022194392615845025,-4.396448365828138,15.519902619448574,,,,0.015340249492287334,1.0078166858716444,0.9914496421813964,0.2147549573670734,0.21300683319568636,0.006963618332520127,0.0069611756131052974
QminimalityConditionalFinal,cifar10,all,False,False,decay,adam,5e-05,last,0,dib,0,mlpl,128,1,0,128,1,0,100.0,0,1024,0,1,default,0,transformer,best,,,2.660633065483786,1.0789820671081545,0.0047221725637262525,,,,0.6612949615175073,2.2429459571838377,,0.885,0.5096,,,-0.4583896702996799,-1.55478245518743,15.55509701642123,,,,0.006506049054171232,1.0123928839510137,1.032773566246033,5.815722790631381,5.900125694274903,0.1659676737406037,0.16959554553031922
QminimalityConditionalFinal,cifar10,all,False,False,decay,adam,5e-05,last,0,dib,0,mlpl,128,1,0,128,1,0,100.0,0,1024,0,1,default,2,transformer,best,,,2.4431310892105103,1.1569757461547852,0.006148240782997825,,,,0.8787969621745023,2.1649522781372066,,0.8246888888888889,0.5051,,,-0.6091428545645712,-1.5001348212875576,15.553661259737881,,,,0.007971605883762322,1.001788697459481,0.993411874771118,5.668528145009821,5.698677349090576,0.25703909586776386,0.258242130279541
QminimalityConditionalFinal,cifar10,all,False,False,decay,adam,5e-05,last,0,dib,0,mlpl,128,1,0,128,1,0,100.0,0,1024,0,1,default,1,transformer,best,,,2.6491915095936167,1.0693817615509034,0.004723874005404386,,,,0.6727365038611672,2.252546262741089,,0.8811555555555556,0.5161,,,-0.4663402482021423,-1.5611071979815032,15.555097970095547,,,,0.006623279338946696,1.007340889085423,1.0204484701156615,5.375053189017557,5.461147499084473,0.33249963413585315,0.3400588929653168
QminimalityConditionalFinal,cifar10,all,False,False,decay,adam,5e-05,last,0,dib,0,mlpl,128,1,0,128,1,0,0.001,0,1024,0,1,default,0,transformer,best,,,3.321826230395924,-2.0009358406066893,0.3618427081541581,,,,0.0001017891286623622,5.3228638648986815,,1.0,0.5152,,,-7.054431737619876e-05,-3.6865961714377016,15.197976719249382,,,,0.08122703883716685,1.0036553659222345,0.9880568027496338,0.36244991557164624,0.3597196698188781,0.008416720792989841,0.008404828421771527
QminimalityConditionalFinal,cifar10,all,False,False,decay,adam,5e-05,last,0,dib,0,mlpl,128,1,0,128,1,0,0.001,0,1024,0,1,default,1,transformer,best,,,3.321830012581565,-2.0757970809936523,0.35327716307206586,,,,9.8015178082278e-05,5.3977251052856445,,1.0,0.5187,,,-6.792898689602427e-05,-3.7394900549490666,15.206544442610307,,,,0.07879162245573203,0.993333166295832,0.9760055780410768,0.35268552059477026,0.34980661869049073,0.007947650272399187,0.00793916042894125
QminimalityConditionalFinal,cifar10,all,False,False,decay,adam,5e-05,last,0,dib,0,mlpl,128,1,0,128,1,0,0.001,0,1024,0,1,default,2,transformer,best,,,3.3217824480750333,-1.9315125465393064,0.4945535334673794,,,,0.00014555690392047504,5.253440570831299,,1.0,0.5162,,,-0.00010088352757798446,-3.6424787316285983,15.065255685286088,,,,0.09557815780166122,1.002707446163351,0.9850924372673034,0.3674965676936237,0.3644479751586914,0.008185043423013254,0.008173913136124611
QminimalityConditionalFinal,cifar10,all,False,False,decay,adam,5e-05,last,0,dib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,0,1,default,0,transformer,best,,,3.309259208765897,-1.432814788818359,0.009017586708068848,,,,0.012668838174167005,4.754742813110352,,1.0,0.4903,,,-0.008781891368440625,-3.2925901542112817,15.5508018840443,,,,0.005828712577583059,1.0031771388920872,1.00129234790802,2.201780156655745,2.219598722457886,0.024231069721281532,0.02442723698914051
QminimalityConditionalFinal,cifar10,all,False,False,decay,adam,5e-05,last,0,dib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,0,1,default,1,transformer,best,,,3.3125715255737305,-1.3968552589416503,0.006148381666703658,,,,0.009356462142684242,4.718783283233644,,1.0,0.4995,,,-0.00648532031807469,-3.2726141155966357,15.553673007271506,,,,0.005261029915115005,0.991812061179768,0.9917963862419128,2.3553657965226606,2.3798401832580565,0.0198323056101799,0.02008216343820095
QminimalityConditionalFinal,cifar10,all,False,False,decay,adam,5e-05,last,0,dib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,0,1,default,2,transformer,best,,,3.30710832639174,-1.5256021499633792,0.010956276546825062,,,,0.014819659800692038,4.847530174255371,,1.0,0.4909,,,-0.010272940932206615,-3.3615872311829924,15.54885296388106,,,,0.008173300446102594,1.0046059570529244,0.9912329077720642,1.9844368371096524,1.992155241966248,0.017859924330630085,0.017860596626996995
