experiment,data,datasize,augment,rand,schedule,optim,lr,chckpnt,wdecay,model,dropout,encoder,enc_zy_nhid,enc_zy_nlay,enc_zy_kpru,enc_zx_nhid,enc_zx_nlay,enc_zx_kpru,beta,nskip,zdim,minimax,mchead,gamma,clfs,run,,epochs,test_I_xz_toagg,train_I_xz_toagg,train_DIQ_yz_toagg,test_DIQ_yz_toagg,train_DIQ_xz_toagg,train_d_DIQ_xz_toagg,train_H_zCx_toagg,test_H_zCx_toagg,train_H_Q_yCz_toagg,test_H_Q_yCz_toagg,train_DIQ_xzCy_toagg,train_acc_toagg,test_acc_toagg,train_loss_toagg,test_loss_toagg,train_loglike_toagg,test_loglike_toagg,train_H_Q_xCz_toagg,train_d_H_Q_xCz_toagg,train_H_Q_xCzy_toagg,train_h_acc_toagg,train_h_delta_acc_toagg,train_z_norm_toagg,test_z_norm_toagg
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,0,transformer,best,,,3.318718535559518,-0.8637936721801758,,3.321833338056292,,,0.003209503134712577,4.185721696472168,,1.0,0.1841,,,-0.002184149453059945,-2.9013212352356987,,9.517940530453675e-05,,,0.9107142857142856,2.4665536880493164,2.3227030763626098
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,2,transformer,best,,,3.3187386989593506,-0.6702889907836914,,3.321852581841605,,,0.003189285152724811,3.992217015075684,,1.0,0.1867,,,-0.0021158182738622603,-2.7671940105699933,,7.596482464578003e-05,,,0.9017857142857144,2.291269540786743,2.1345987636566157
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,1,transformer,best,,,3.319756814411708,-1.1152832065582274,,3.321855442864554,,,0.0021712208898471935,4.4372112308502185,,1.0,0.1967,,,-0.0014672147188321105,-3.0756404840163785,,7.319186988752335e-05,,,0.9017857142857144,2.526754515511649,2.340814590072632
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,1.0,0,1024,5,3,-0.1,default,0,transformer,best,,,3.3130953652518143,-0.494162089920044,,3.321877888270787,,,0.008832692900406463,3.816090114212036,,1.0,0.1801,,,-0.005892098079202697,-2.64511215063124,,5.063838606084963e-05,,,0.9107142857142856,0.8390875458717346,0.8646753526687622
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,1.0,0,1024,5,3,-0.1,default,1,transformer,best,,,3.314731938498361,-0.5648906764984131,,3.3218805789947514,,,0.007196056190878153,3.8868187007904047,,1.0,0.1919,,,-0.0049782674078596755,-2.6941374755520315,,4.806601022469944e-05,,,0.9017857142857144,0.7864678076335362,0.8033412811279297
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,1.0,0,1024,5,3,-0.1,default,2,transformer,best,,,3.3141157967703685,-0.3771147254943848,,3.3218808514731277,,,0.007812251070780414,3.699042749786377,,1.0,0.1835,,,-0.005280318148652441,-2.563981089948118,,4.7701064301821005e-05,,,0.9017857142857144,0.8574575866971698,0.873064980506897
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,1,transformer,best,,,3.0510222571236745,-0.2124887935638428,,3.307935578482492,,,0.2709057714257921,3.534416817855835,,1.0,0.1773,,,-0.1917205088585615,-2.449871085313708,,0.013992928367640291,,,0.9017857142857144,1.1088169472558158,1.1740303446769715
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,0,transformer,best,,,3.0189945697784424,-0.241588960647583,,3.3022174835205083,,,0.3029334417411259,3.563516984939575,,1.0,0.1687,,,-0.2081110816076398,-2.470041801496968,,0.0197111080799784,,,0.9107142857142856,1.1652862003871374,1.2533913845062257
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,2,transformer,best,,,3.0300554888589035,-0.25330187911987306,,3.3064795221601213,,,0.291872501373291,3.575229903411865,,1.0,0.1591,,,-0.20338888496160507,-2.4781605695672333,,0.01544909312256745,,,0.9017857142857144,1.1886299678257533,1.2554650075912477
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,100.0,0,1024,5,3,-0.1,default,1,transformer,best,,,1.5166649137224468,-0.13063229141235352,,3.306640011923654,,,1.8052631105695447,3.4525603157043463,,0.8,0.1456,,,-1.2591967993974686,-2.393132489617914,,0.015288442240229676,,,0.9017857142857144,1.0222526277814592,1.0849655415534971
