experiment,data,datasize,augment,rand,schedule,optim,lr,chckpnt,wdecay,model,dropout,encoder,enc_zy_nhid,enc_zy_nlay,enc_zy_kpru,enc_zx_nhid,enc_zx_nlay,enc_zx_kpru,beta,nskip,zdim,minimax,mchead,clfs,clf_nhid,clf_nlay,clf_kpru,gamma,epochs,run_count,test_accuracy_mean,test_accuracy_std,test_loglike_mean,test_loglike_std,train_accuracy_mean,train_accuracy_std,train_loglike_mean,train_loglike_std,train_sharp_mag_mean,train_sharp_mag_std,train_var_grad_mean,train_var_grad_std,train_path_norm_mean,train_path_norm_std,train_y_pred_ent_mean,train_y_pred_ent_std
QminimalityRandom,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,1,default,128,1,0,-0.1,best,3,0.45883333333333337,0.0006806859285554084,-5.440734348010143,0.04274554212047361,0.9974814814814815,0.0006730558039466511,-0.010876609094498871,0.0017531204919442552,,,,,,,,
QminimalityRandom,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,3,default,128,1,0,-0.1,best,3,0.46773333333333333,0.003952636251077688,-5.27119599960684,0.0681301908348638,0.9976740740740743,0.00016679007776578887,-0.01005108206380051,0.0004952961471134869,,,,,,,,
QminimalityRandom,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,5,default,128,1,0,-0.1,best,3,0.4718,0.004573838650411727,-5.2113299863143965,0.10633223776414176,0.9981555555555555,0.0007058835633008554,-0.00892034026327496,0.002283425362809255,,,,,,,,
QminimalityRandom,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.1,0,1024,5,1,default,128,1,0,-0.1,best,3,0.47459999999999997,0.0029715315916207267,-3.9059714026202044,0.2620871242089057,0.9897851851851852,0.00852784352731309,-0.03298155977088543,0.023845774996832336,,,,,,,,
QminimalityRandom,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.1,0,1024,5,3,default,128,1,0,-0.1,best,3,0.4266666666666667,0.017863463643239333,-4.160716493067039,0.1185939735826067,0.9962148148148149,0.0011988334521903683,-0.021684506936210744,0.004238421481860975,,,,,,,,
QminimalityRandom,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.1,0,1024,5,5,default,128,1,0,-0.1,best,3,0.3960000000000001,0.007534586916347839,-4.364469708401347,0.11039220164247388,0.9965037037037038,0.0006119522830317715,-0.02460924932159526,0.0030129627686727584,,,,,,,,
QminimalityRandom,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,1.0,0,1024,5,1,default,128,1,0,-0.1,best,3,0.48736666666666667,0.021757144420473308,-2.465625529708845,0.08176261646413027,0.9761925925925926,0.024434809548991153,-0.09400961162741232,0.07032971874220471,,,,,,,,
QminimalityRandom,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,1.0,0,1024,5,3,default,128,1,0,-0.1,best,3,0.47806666666666664,0.006178457196852084,-2.5368228635388603,0.04271745048441872,0.9941185185185185,0.005763500879398755,-0.036512629827490685,0.01604752616215911,,,,,,,,
QminimalityRandom,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,1.0,0,1024,5,5,default,128,1,0,-0.1,best,3,0.4807333333333333,0.010059986746180796,-2.4653003474449235,0.20014320047095008,0.9977333333333332,0.0008388704928078054,-0.02720948596922486,0.0012708421913817363,,,,,,,,
QminimalityRandom,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,1,default,128,1,0,-0.1,best,2,0.52865,0.0014849242404917434,-1.4066902276175477,0.05398188721601069,0.7016555555555555,0.04787898582834245,-0.8629132555399893,0.13612396361227633,,,,,,,,
