model,beta,mchead,run,test_accuracy_toagg,test_loglike_toagg,train_accuracy_toagg,train_loglike_toagg
cdib,1.0,1,0,0.4625,-2.533306028136956,0.9479777777777778,-0.1750559897112179
cdib,1.0,1,1,0.5029,-2.488790877153823,0.9903555555555555,-0.04902741058953474
cdib,1.0,1,2,0.4967,-2.3747796838357567,0.9902444444444444,-0.05794543458148429
cdib,1.0,3,0,0.4714,-2.487980050472233,0.9981111111111112,-0.026163724239123658
cdib,1.0,3,1,0.4836,-2.5552806063750277,0.9967333333333334,-0.028375500793526194
cdib,1.0,3,2,0.4792,-2.56720793376932,0.9875111111111112,-0.05499866444982221
cdib,1.0,5,0,0.4701,-2.5727990742968747,0.9976222222222222,-0.02643230414796774
cdib,1.0,5,1,0.4901,-2.2343778526229543,0.9986222222222222,-0.026520101375527586
cdib,1.0,5,2,0.48200000000000004,-2.588724115414942,0.9969555555555556,-0.02867605238417925
cdib,0.01,3,0,0.4644,-5.3498630270272685,0.9975111111111112,-0.01060170129883482
cdib,0.01,3,1,0.4721,-5.231273418141607,0.9978444444444444,-0.009909683300410777
cdib,0.01,3,2,0.4667,-5.232451553651642,0.9976666666666668,-0.009641861592155928
cdib,0.01,1,0,0.4596,-5.410296659007965,0.9967111111111112,-0.01264247702431335
cdib,0.01,1,1,0.4586,-5.489603477611484,0.9977777777777778,-0.010850829899813676
cdib,0.01,1,2,0.4583,-5.422302907410982,0.9979555555555556,-0.009136520359369585
cdib,0.01,5,0,0.4666,-5.317627039946595,0.9973777777777778,-0.011467308672378013
cdib,0.01,5,2,0.4752,-5.104962599309778,0.9987555555555556,-0.0070563094222975955
cdib,0.01,5,1,0.4736,-5.211400319686816,0.9983333333333332,-0.00823740269514927
cdib,0.1,5,0,0.3947,-4.4619256060728185,0.9958,-0.026835501809458092
cdib,0.1,5,1,0.3892,-4.38689792015806,0.9969111111111112,-0.025811462046502233
cdib,0.1,5,2,0.4041,-4.2445855989731625,0.9968,-0.02118078410882545
cdib,0.1,1,0,0.4733,-3.644723133917217,0.9805111111111112,-0.058642121921332516
cdib,0.1,1,1,0.478,-3.9043016699526136,0.9915555555555556,-0.028798396584984093
cdib,0.1,1,2,0.4725,-4.168889403990782,0.9972888888888888,-0.011504160806339684
cdib,0.1,3,0,0.4181,-4.294637118653987,0.9948888888888888,-0.025410940799671617
cdib,0.1,3,1,0.4147,-4.118524710748998,0.9965333333333334,-0.02256892255885137
cdib,0.1,3,2,0.4472,-4.068987649798132,0.9972222222222222,-0.017073657450109248
cdib,100.0,3,0,0.4039,-1.719161112833023,0.4074444444444445,-1.7046246366323696
cdib,100.0,3,1,0.3925,-1.7325800149708983,0.3944444444444444,-1.726250066441794
cdib,100.0,3,2,0.4078,-1.7088140456631782,0.4152444444444445,-1.6903012446708148
cdib,100.0,5,0,0.4387,-1.628401412359625,0.4451777777777778,-1.5984492951929985
cdib,100.0,5,1,0.4265,-1.6695879549965262,0.4372,-1.6438980545105206
cdib,100.0,5,2,0.4253,-1.659771627096832,0.4382444444444445,-1.6268608681263197
cdib,100.0,1,0,0.3691,-1.7774409388080241,0.3707111111111111,-1.7722208254476388
cdib,100.0,1,1,0.3532,-1.8539080504775047,0.3496444444444444,-1.8536737981246576
cdib,100.0,1,2,0.368,-1.804030569455028,0.3665777777777778,-1.7979621556229062
cdib,10.0,3,0,0.5169,-1.5654058492978968,0.8750666666666667,-0.4442151449685668
cdib,10.0,3,1,0.5129,-1.699793627278087,0.9239777777777778,-0.30952139104815124
cdib,10.0,3,2,0.5132,-1.5776833521740712,0.8748222222222222,-0.4483146725929651
cdib,10.0,1,0,0.5297,-1.4448611861292364,0.7355111111111111,-0.7666590777877579
cdib,10.0,1,1,0.5276,-1.3685192691058592,0.6678,-0.9591674332922208
cdib,10.0,5,0,0.5016,-1.864729916654296,0.9648444444444444,-0.17728984325875913
cdib,10.0,5,1,0.5088,-1.773148298877208,0.9513777777777778,-0.2258066468449441
cdib,10.0,5,2,0.4923,-1.901255230234812,0.9518,-0.2207219715200869
cdibrand,0.01,3,0,0.46799999999999997,-5.18914160828309,0.9978888888888888,-0.009447459512445114
cdibrand,0.01,3,1,0.4802,-4.969839388592121,0.9984222222222222,-0.008647246376958729
cdibrand,0.01,3,2,0.4687,-5.040576777059317,0.9977333333333334,-0.00974111280234938
cdibrand,0.01,5,0,0.4824,-5.024328180299532,0.998,-0.009042114955806223
cdibrand,0.01,5,1,0.4826,-5.0517331159066,0.9980666666666668,-0.008589330850650072
cdibrand,0.01,5,2,0.4694,-5.050879256225026,0.9979111111111112,-0.008512817588062709
cdibrand,0.01,1,0,0.4586,-5.462143822865682,0.9969555555555556,-0.01229068604595363
cdibrand,0.01,1,1,0.4529,-5.608556838517681,0.9966888888888888,-0.01277855551018955
cdibrand,0.01,1,2,0.4527,-5.507754659090296,0.9973555555555556,-0.011296086234495491
cdibrand,0.1,1,0,0.4614,-3.972570586802733,0.9965777777777778,-0.015638984869197625
cdibrand,0.1,1,1,0.4679,-3.8998321197081354,0.9935111111111112,-0.02421974861986987
cdibrand,0.1,1,2,0.456,-4.230975940026949,0.9952222222222222,-0.019302289866662308
cdibrand,0.1,3,0,0.4064,-4.35997961177112,0.9957555555555556,-0.024720831538496232
cdibrand,0.1,3,1,0.4286,-4.236652780413989,0.9963333333333332,-0.019541003450328977
cdibrand,0.1,3,2,0.4099,-4.452274435688391,0.9966888888888888,-0.01870406422956322
cdibrand,0.1,5,0,0.3984,-4.481886205025021,0.9963333333333332,-0.025829090444814903
cdibrand,0.1,5,1,0.3913,-4.3677672070141345,0.9972666666666666,-0.02706517816960255
cdibrand,0.1,5,2,0.4,-4.2974009988735435,0.9969111111111112,-0.02079208427946477
cdibrand,1.0,1,0,0.4797,-2.6907827090646976,0.9668666666666668,-0.11644234992093147
cdibrand,1.0,1,1,0.4745,-2.95996106064223,0.9524222222222222,-0.14741807718504293
cdibrand,1.0,1,2,0.4967,-2.2526080812372755,0.9855777777777778,-0.06968890794783568
cdibrand,1.0,3,0,0.452,-2.7622415304243173,0.9906444444444444,-0.04880556259002354
cdibrand,1.0,3,1,0.4746,-2.5968641233687673,0.9804444444444445,-0.0733517749832181
cdibrand,1.0,3,2,0.4509,-2.797523303441829,0.9983555555555556,-0.02566735334425337
cdibrand,1.0,5,1,0.4654,-3.005657268849852,0.9395111111111112,-0.18923865336827086
cdibrand,1.0,5,0,0.4786,-2.5010993580399705,0.9977555555555556,-0.02678821061764211
cdibrand,1.0,5,2,0.4736,-2.2185073848291266,0.9928444444444444,-0.047762829822022936
cdibrand,10.0,3,0,0.4917,-2.2174654229174235,0.9951333333333332,-0.05568831118295445
cdibrand,10.0,3,1,0.4887,-2.181548195036584,0.9972666666666666,-0.0468608285477043
cdibrand,10.0,3,2,0.4876,-2.203606255771017,0.9971333333333332,-0.04824863425289145
cdibrand,10.0,5,0,0.4747,-2.3406366688564604,0.9991555555555556,-0.032167575643171194
cdibrand,10.0,5,1,0.4843,-2.2421022998805813,0.9986666666666668,-0.034996864844509534
cdibrand,10.0,5,2,0.4676,-2.46110361121357,0.9988,-0.03007601184839061
cdibrand,10.0,1,0,0.5031,-1.7468909266431074,0.8859333333333334,-0.3835301919481551
cdibrand,10.0,1,1,0.5221,-1.5583421001786544,0.8466888888888889,-0.5006803374695854
cdibrand,10.0,1,2,0.5064,-1.6668967666272885,0.8534888888888889,-0.4662105603525015
cdibrand,100.0,1,0,0.389,-1.766651524490118,0.3909111111111111,-1.759129527388679
cdibrand,100.0,1,1,0.3821,-1.7744847539573907,0.3829111111111111,-1.764839948502183
cdibrand,100.0,1,2,0.3958,-1.7219725818634033,0.4008888888888889,-1.7107576994723743
cdibrand,100.0,5,0,0.4701,-1.541630112426728,0.5326444444444445,-1.4105283309030037
cdibrand,100.0,5,2,0.4606,-1.5626132070086896,0.5073333333333333,-1.459740384859343
cdibrand,100.0,5,1,0.4684,-1.5702948206290603,0.5142666666666666,-1.4761716462034733
cdibrand,100.0,3,0,0.4447,-1.626185106576234,0.4631333333333333,-1.5815994835365978
cdibrand,100.0,3,1,0.4401,-1.643483838210255,0.4530888888888889,-1.6023392529694571
cdibrand,100.0,3,2,0.4467,-1.5989357238743451,0.4742,-1.5333034241828238
