experiment,data,datasize,augment,rand,schedule,optim,lr,chckpnt,wdecay,model,dropout,encoder,enc_zy_nhid,enc_zy_nlay,enc_zy_kpru,enc_zx_nhid,enc_zx_nlay,enc_zx_kpru,beta,nskip,zdim,minimax,mchead,clfs,clf_nhid,clf_nlay,clf_kpru,gamma,epochs,run_count,train_loss_mean,train_loss_std,valid_loss_mean,valid_loss_std,valid_acc_mean,valid_acc_std,train_acc_mean,train_acc_std
QminimalityReindexing,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,1,default,128,1,0,-0.1,0,3,1.233805732426499,0.03145629810347812,1.6366172665278116,0.018769533173117525,0.44893333333333335,0.0035907288025321016,0.455,0.01303541235667833
QminimalityReindexing,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,1,default,128,1,0,-0.1,1,3,0.5884654850179499,0.025087152265660016,1.450654765510559,0.011187292906921555,0.5026666666666667,0.006331929669013504,0.8436074074074075,0.0022598299218570084
QminimalityReindexing,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,1,default,128,1,0,-0.1,2,3,0.28292204948483096,0.01225044419825967,1.4190289266586305,0.005200819421114833,0.5208666666666667,0.006331929669013476,0.9485555555555556,0.0034782569779902915
QminimalityReindexing,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,1,default,128,1,0,-0.1,3,3,0.12356381600011479,0.006753523454447072,1.4456598375956216,0.006536931879399375,0.5261999999999999,0.005200000000000035,0.9777481481481481,0.002958255519755596
QminimalityReindexing,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,1,default,128,1,0,-0.1,4,3,0.033360843859748406,0.004764136669444799,1.4939447266260784,0.003778657700049934,0.5266666666666667,0.006047589051294225,0.9882814814814815,0.002141458293172996
QminimalityReindexing,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,1,default,128,1,0,-0.1,5,3,-0.02591000086561297,0.004166573651832573,1.5543804365793863,0.006782687687639324,0.5280666666666667,0.005001333155602923,0.9930148148148148,0.0011340593172226542
QminimalityReindexing,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,1,default,128,1,0,-0.1,6,3,-0.06545932845166236,0.0035689239529709195,1.6184694447199506,0.0031774878544934704,0.5306666666666666,0.0070038084877682314,0.9951925925925926,0.0011509166144852009
QminimalityReindexing,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,1,default,128,1,0,-0.1,7,3,-0.09505341957157308,0.003242810813529141,1.681329382896423,0.00588157084507542,0.5299999999999999,0.0048867166891483,0.9964814814814815,0.0008667616282257843
QminimalityReindexing,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,1,default,128,1,0,-0.1,8,3,-0.11894485892382535,0.0033757248246212724,1.7495544127146403,0.001249209505022015,0.5298666666666666,0.005076744363598919,0.9974148148148148,0.0006318045225641758
QminimalityReindexing,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,1,default,128,1,0,-0.1,9,3,-0.13737064817890976,0.003773422711250625,1.8138506929397582,0.005604789821602527,0.5289333333333334,0.0068770148562681595,0.9978296296296296,0.0005701779377163688
QminimalityReindexing,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,1,default,128,1,0,-0.1,10,3,-0.15410427451928455,0.0036483247919560716,1.8905500923156737,0.01252318426052251,0.5292666666666667,0.007354817015625418,0.9979999999999999,0.0003777777777778102
QminimalityReindexing,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,1,default,128,1,0,-0.1,11,3,-0.1690669462774739,0.0035707680878567937,1.9584607371648153,0.008472929764578788,0.5288666666666667,0.006506407098647676,0.9980592592592593,0.00044518456892788717
QminimalityReindexing,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,1,default,128,1,0,-0.1,12,3,-0.18242559250268067,0.003177913039427234,2.0435594912211097,0.008646975025750176,0.5284,0.00811911325207382,0.9983037037037037,0.000243770113657834
QminimalityReindexing,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,1,default,128,1,0,-0.1,13,3,-0.19474797810424457,0.0034132579088155665,2.1222222605387366,0.02365358215040495,0.5252,0.006612110101926614,0.9984888888888888,0.00016777409856158314
QminimalityReindexing,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,1,default,128,1,0,-0.1,14,3,-0.20624167465441157,0.003030347488210425,2.1886042114257815,0.011886590476070037,0.5267333333333333,0.007736493607141065,0.9983999999999998,0.00011547005383793647
QminimalityReindexing,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,1,default,128,1,0,-0.1,15,3,-0.21815175992647806,0.0033503778838556287,2.27983129641215,0.01777219885572729,0.5250666666666667,0.008393648392286453,0.9984814814814816,0.0004390412300070829
QminimalityReindexing,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,1,default,128,1,0,-0.1,16,3,-0.2287960632410916,0.00320772616166312,2.36932431678772,0.016300436548023784,0.5217999999999999,0.006063002556489613,0.9984888888888889,0.0003318485449571031
QminimalityReindexing,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,1,default,128,1,0,-0.1,17,3,-0.2397436909682823,0.0025996485116844305,2.473621794382731,0.03957271102173222,0.5194,0.006244997998398435,0.9983851851851852,0.00029002625111781207
QminimalityReindexing,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,1,default,128,1,0,-0.1,18,3,-0.25034170566977876,0.0023045703089088483,2.5222647420247397,0.03632725611283683,0.5202666666666667,0.004225320500664238,0.998237037037037,0.00015608375930148554
QminimalityReindexing,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,1,default,128,1,0,-0.1,19,3,-0.26045222243612465,0.002809112686541117,2.61717353477478,0.041662454245938466,0.5137333333333333,0.007800854654032012,0.9982148148148148,7.143445008144685e-05
QminimalityReindexing,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,1,default,128,1,0,-0.1,20,3,-0.271355667180726,0.0022706759249112147,2.6841058831532796,0.01183676338387427,0.5148,0.006878953408767879,0.9978444444444445,0.00019751543149589375
QminimalityReindexing,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,1,default,128,1,0,-0.1,21,3,-0.2804286924080415,0.0024786513443889146,2.800770366032919,0.05316913191879196,0.5118,0.008662563131083023,0.9977777777777778,0.0005347204184673497
QminimalityReindexing,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,1,default,128,1,0,-0.1,22,3,-0.2898707177985798,0.0016106194682728317,2.8720323570251467,0.04875758877447836,0.5110666666666667,0.00881438218670675,0.9975703703703704,0.00013394919496310413
QminimalityReindexing,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,1,default,128,1,0,-0.1,23,3,-0.2990052373026357,0.002070341418287064,2.9232769864400225,0.031120409083930836,0.5094,0.008445116932287026,0.9974518518518519,0.00012636090451278033
QminimalityReindexing,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,1,default,128,1,0,-0.1,24,3,-0.3080298228393901,0.002236897831959969,3.0047702907562255,0.04809684107400639,0.5072666666666666,0.0113601643180605,0.9971851851851853,0.0003487779960590766
